      Step     Time          Energy          fmax
FIRE:    5 13:38:44     -521.917297        0.281946
FIRE:    6 13:38:44     -521.921570        0.262937
FIRE:    7 13:38:45     -521.927002        0.234832
FIRE:    8 13:38:45     -521.932739        0.197984
FIRE:    9 13:38:45     -521.938049        0.153043
FIRE:   10 13:38:46     -521.942200        0.101371
FIRE:   11 13:38:46     -521.944824        0.084421
FIRE:   12 13:38:46     -521.946167        0.080105
FIRE:   13 13:38:47     -521.946594        0.106777
FIRE:   14 13:38:47     -521.946716        0.105473
FIRE:   15 13:38:48     -521.947021        0.102870
FIRE:   16 13:38:48     -521.947449        0.099024
FIRE:   17 13:38:49     -521.947998        0.093962
FIRE:   18 13:38:49     -521.948608        0.087770
FIRE:   19 13:38:49     -521.949280        0.080536
FIRE:   20 13:38:50     -521.949951        0.072372
FIRE:   21 13:38:50     -521.950684        0.062443
FIRE:   22 13:38:50     -521.951416        0.057070
FIRE:   23 13:38:51     -521.952087        0.052992
FIRE:   24 13:38:51     -521.952698        0.048318
      Step     Time          Energy          fmax
FIRE:    0 13:38:52     -521.485352        1.472079
FIRE:    1 13:38:52     -521.593689        1.289501
FIRE:    2 13:38:53     -521.758118        0.898625
FIRE:    3 13:38:53     -521.887268        0.323512
FIRE:    4 13:38:53     -521.915039        0.294135
FIRE:    5 13:38:54     -521.917297        0.281946
FIRE:    6 13:38:54     -521.921570        0.262937
FIRE:    7 13:38:54     -521.927002        0.234833
FIRE:    8 13:38:55     -521.932739        0.197995
FIRE:    9 13:38:55     -521.938049        0.153044
FIRE:   10 13:38:55     -521.942200        0.101372
FIRE:   11 13:38:56     -521.944824        0.084421
FIRE:   12 13:38:56     -521.946167        0.080105
FIRE:   13 13:38:57     -521.946594        0.106777
FIRE:   14 13:38:57     -521.946716        0.105473
FIRE:   15 13:38:57     -521.947021        0.102870
FIRE:   16 13:38:58     -521.947449        0.099024
FIRE:   17 13:38:58     -521.947998        0.093962
FIRE:   18 13:38:58     -521.948608        0.087769
FIRE:   19 13:38:59     -521.949280        0.080538
FIRE:   20 13:38:59     -521.949951        0.072363
FIRE:   21 13:38:59     -521.950684        0.062444
FIRE:   22 13:39:00     -521.951416        0.057071
FIRE:   23 13:39:00     -521.952087        0.052992
FIRE:   24 13:39:00     -521.952759        0.048320
      Step     Time          Energy          fmax
FIRE:    0 13:39:01     -521.485352        1.472079
FIRE:    1 13:39:02     -521.593689        1.289501
FIRE:    2 13:39:02     -521.758118        0.898625
FIRE:    3 13:39:02     -521.887268        0.323512
FIRE:    4 13:39:03     -521.915039        0.294136
FIRE:    5 13:39:03     -521.917358        0.281947
FIRE:    6 13:39:04     -521.921570        0.262936
FIRE:    7 13:39:04     -521.927002        0.234832
FIRE:    8 13:39:04     -521.932739        0.197994
FIRE:    9 13:39:05     -521.938049        0.153043
FIRE:   10 13:39:05     -521.942200        0.101371
FIRE:   11 13:39:05     -521.944824        0.084421
FIRE:   12 13:39:06     -521.946167        0.080105
FIRE:   13 13:39:06     -521.946594        0.106777
FIRE:   14 13:39:07     -521.946716        0.105472
