No,Simulated Composition,FileName,PASSED_SCREENING,data_type,A-site(atom+number),A-site(total_atom),A-site(atom),A-site(number),A'-site(atom+number),A'-site(atom),A'-site(number),A''-site(atom+number),Bandgap_by_DFT,Energy_Raw_eV_by_DFT,Energy_Corrected_eV_by_DFT,Energy_per_atom_eV,Magnetic_by_DFT,Energy_above_convex_hull_Anodic_Conditions_eV_atom,Energy_above_convex_hull_Cathodic_Conditions_eV_atom,Energy_above_convex_hull_CO2_Conditions_eV_atom,Bandgap_by_DFT_w_noise,Zscore_Transformed,Zscore_Transformed_noised,Log_Transformed,Log_Transformed_noised,YeoJohnson_Transformed,YeoJohnson_Transformed_noised,rint_norm,rint_norm_noised,Energy_above_convex_hull_Cathodic_Conditions_eV_atom_noised,Energy_above_convex_hull_CO2_Conditions_eV_atom_noised,Energy_above_convex_hull_Anodic_Conditions_eV_atom_noised,Bandgap_by_DFT_noised
1845,Pr4_Ho4_Ga8_O24,Pr4Ho4Ga8O24.vasp,NOT,train,Pr4,8,Pr,4,Ho4,Ho,4,,3.21,-282.272733,-298.760733,-7.469018325,0,1.163276583,0.392342386,0.392342386,3.209913870265989,1.9575371144324245,1.9565644135799989,1.169381359556317,1.168172786644517,0.7561494578177664,0.7561978304595675,1.4808936557719306,1.4805821047282548,0.3923363526230007,0.393385093,1.163340951246021,3.2099217929958783
374,Ba2_Y6_Fe8_O24,Ba2Y6Fe8O24.vasp,NOT,train,Ba2,8,Ba,2,Y6,Y,6,,0.051,-294.314623,-328.850623,-8.221265575,-11.9736,0.722269803,0.478690875,0.574416031,0.050560179,-0.755382839,-0.75447567,-2.796881415,-2.796749451,0.048507137,0.04853433,-0.492796944,-0.492380455,0.4786820829472573,0.5740250163567158,0.722286041,0.050894304
1633,Ba4_Ca4_Sb8_O24,Ba4Ca4Sb8O24.vasp,NOT,train,Ba4,8,Ba,4,Ca4,Ca,4,,0.089,-246.250846,-262.738846,-6.56847115,0,0.414149538,0.806696574,0.856344628,0.089107653,-0.722748791,-0.722378324,-2.312635429,-2.312767743,0.08167449,0.081682597,-0.330226264,-0.329263146,0.806716361,0.8557649410983745,0.4140601750747095,0.088981317
4067,Sr8_Al4_Fe4_O24,Sr8Al4Fe4O24.vasp,NOT,train,Sr8,8,Sr,8,,,0,,0.003,-258.64398,-284.15598,-7.1038995,14.6477,0.851301031,0.353480185,0.623214989,0.002856691,-0.796604795,-0.79606799,-4.342805922,-4.343904996,0.002990959,0.002991452,-1.62687544,-1.627463025,0.3534164,0.622280693,0.8512744055812489,0.002899753
1109,Zn2_La6_Zr8_O24,Zn2La6Zr8O24.vasp,NOT,train,Zn2,8,Zn,2,La6,La,6,,0.598,-342.766919,-359.254919,-8.981372975,0,0.076288856,0.076288856,0.963279902,0.5981042676329618,-0.285624303,-0.285586197,-0.497580397,-0.498355172,0.3729986283727559,0.3730115118263318,0.1711201664856296,0.1708762932793019,0.076312667,0.9631245793334782,0.076277812,0.5979793352457783
1375,Nb2_La6_Co6_Ce2_O24,Nb2La6Co6Ce2O24.vasp,NOT,train,Nb2,8,Nb,2,La6,La,6,,1.065,-311.393356,-337.709356,-8.4427339,18,0.575967374,0.41540592,0.437763677,1.0654614109554958,0.1154309731769521,0.1154621484194982,0.072320662,0.073429704,0.5132604936859338,0.5132329500739697,0.4037855791226049,0.4033759869320628,0.4154406560794159,0.4373936372858618,0.5759267612163426,1.0649681730354243
3320,Ca8_Fe8_O24,Ca8Fe8O24.vasp,NOT,train,Ca8,8,Ca,8,,,0,,0.099,-254.879061,-289.415061,-7.235376525,0,0.935358968,0.402248547,0.513998153,0.098105815,-0.714160883,-0.71397174,-2.216407397,-2.215880616,0.090018697,0.090012169,-0.306117475,-0.306952568,0.4022711720087231,0.5134976230390292,0.9353339200027851,0.098937692
4480,Ba8_Ce2_Hf6_O24,Ba8Ce2Hf6O24.vasp,NOT,train,Ba8,8,Ba,8,,,0,,2.242,-337.527271,-354.015271,-8.850381775,0,0.075277101,0.075277101,0.218918135,2.241109275103004,1.1262276763273906,1.1264754609085683,0.8118187102774439,0.8113614999203312,0.6866080370921356,0.6864751123125579,1.0636747228519656,1.0634137426148662,0.075218899,0.21915898,0.075283701,2.2421033586368493
1877,Sm4_Y4_Ni8_O24,Sm4Y4Ni8O24.vasp,NOT,train,Sm4,8,Sm,4,Y4,Y,4,,0.014,-269.647721,-306.463721,-7.661593025,8,0.088299656,0.895528936,0.895528936,0.014373335,-0.787158097,-0.787097177,-3.729701449,-3.730734929,0.01380526,0.013845461,-0.92475667,-0.924629092,0.8954902720400969,0.8958549378320372,0.088298653,0.014167217376681947
3823,Ca8_Fe6_Ni2_O24,Ca8Fe6Ni2O24.vasp,NOT,train,Ca8,8,Ca,8,,,0,,0.007,-244.851251,-279.957251,-6.998931275,24,1.207045555,0.482671756,0.636766116,0.007786154,-0.793169632,-0.793048869,-4.074541935,-4.07437595,0.006950975,0.006803542,-1.193643429,-1.194460361,0.4827327650206441,0.6365720174877995,1.2069928166562256,0.007048083
