      Step     Time          Energy          fmax
FIRE:    3 16:42:52     -383.387299        0.070875
FIRE:    4 16:42:52     -383.389587        0.069168
FIRE:    5 16:42:52     -383.392029        0.066520
FIRE:    6 16:42:53     -383.394592        0.062709
FIRE:    7 16:42:53     -383.397217        0.057639
FIRE:    8 16:42:53     -383.400208        0.050652
FIRE:    9 16:42:54     -383.403259        0.042969
      Step     Time          Energy          fmax
FIRE:    0 16:42:54     -381.890503        1.286676
FIRE:    1 16:42:55     -382.111847        1.123996
FIRE:    2 16:42:55     -382.461823        0.837890
FIRE:    3 16:42:55     -382.810120        0.485095
FIRE:    4 16:42:56     -383.055389        0.377658
FIRE:    5 16:42:56     -383.167328        0.359994
FIRE:    6 16:42:56     -383.187653        0.561418
FIRE:    7 16:42:57     -383.196198        0.543579
FIRE:    8 16:42:57     -383.212219        0.508951
FIRE:    9 16:42:58     -383.233948        0.459463
FIRE:   10 16:42:58     -383.258881        0.397706
FIRE:   11 16:42:58     -383.284393        0.326606
FIRE:   12 16:42:59     -383.307892        0.249236
FIRE:   13 16:42:59     -383.327332        0.168838
FIRE:   14 16:42:59     -383.342499        0.120518
FIRE:   15 16:43:00     -383.351410        0.115666
FIRE:   16 16:43:00     -383.354218        0.128853
FIRE:   17 16:43:00     -383.354614        0.127937
FIRE:   18 16:43:01     -383.355347        0.126119
FIRE:   19 16:43:01     -383.356476        0.123411
FIRE:   20 16:43:01     -383.357880        0.119854
FIRE:   21 16:43:02     -383.359558        0.115485
FIRE:   22 16:43:02     -383.361420        0.110362
FIRE:   23 16:43:02     -383.363434        0.106216
FIRE:   24 16:43:02     -383.365753        0.103422
FIRE:   25 16:43:03     -383.368347        0.100011
FIRE:   26 16:43:03     -383.371124        0.095912
FIRE:   27 16:43:03     -383.374023        0.091081
FIRE:   28 16:43:04     -383.376923        0.085525
FIRE:   29 16:43:04     -383.379852        0.079341
FIRE:   30 16:43:04     -383.382812        0.072712
      Step     Time          Energy          fmax
FIRE:    0 16:43:05     -381.890503        1.286676
FIRE:    1 16:43:06     -382.111847        1.123996
FIRE:    2 16:43:06     -382.461823        0.837890
FIRE:    3 16:43:06     -382.810120        0.485095
FIRE:    4 16:43:06     -383.055389        0.377658
FIRE:    5 16:43:07     -383.167328        0.359993
FIRE:    6 16:43:07     -383.187683        0.561417
FIRE:    7 16:43:07     -383.196198        0.543579
FIRE:    8 16:43:08     -383.212219        0.508951
FIRE:    9 16:43:08     -383.233948        0.459463
FIRE:   10 16:43:08     -383.258881        0.397706
FIRE:   11 16:43:09     -383.284393        0.326605
